Topic,Count,Name,Representation,Representative_Docs
108,371,108_bell_inequality_locality_realism,"['bell', 'inequality', 'locality', 'realism', 'epr', 'nonlocality', 'horne', 'hide', 'local', 'violation']","['bell inequality pair decay analyze premise recent proposition test local realism bell inequality neutral kaon decay entangle epr pair pay special attention derivation bell inequality related expression unstable oscillate kaon quasi spin state possibility actual identification state associate decay mode discuss indirect method extract probability find state combine experimental information theoretical input find inconsistency previous derivation bell inequality identification quasi spin state associate decay mode allow free choice perform different test property crucial establish validity bell inequality context local realism view propose different kind bell inequality free choice adjustability experimental set guarantee propose inequality violate quantum mechanic', 'lorentz invariant bell inequality study bell inequality relation einstein podolsky rosen paradox relativistic regime purpose relativistically invariant observable calculation bell inequality result maximally violate bell inequality reference frame', 'non kolmogorov probability model modify bell inequality analyse proof bell inequality demonstrate inequality relate particular model probability theory kolmogorov measure theoretical axiomatic find numerical statistical correction bell inequality additional term right hand bell inequality consider probability invariant quantum state measure nonreproducibility hide variable different run experiment experiment verify bell inequality consider experiment estimate constant bell inequality crucial reason deny local realism consider deterministic stochastic hide variable model']"
109,363,109_pion_nucleon_chiral_scatter,"['pion', 'nucleon', 'chiral', 'scatter', 'nn', 'pi', 'exchange', 'isospin', 'amplitude', 'perturbation']","['non perturbative structure nucleon chiral perturbation theory effective field theory standard model talk discuss application framework pion nucleon system chiral correction s wave pion nucleon scatter length reaction n threshold low energy theorem photoproduction', 'low energy pion nucleon scattering paper contain result analysis recent low energy pion nucleon scatter experiment obtain phase shift pion nucleon coupling constant estimate sigma term', 'pion nucleon scatter new approach chiral perturbation theory study pion nucleon scatter chiral lagrangian pion nucleon scatter amplitude evaluate loop order generic small momentum new approach equivalent heavy baryon chiral perturbation theory obtain good fit experimental phase shift pion center mass kinetic energy mev sigma term great mev favor value determine']"
110,363,110_magnetization_tunneling_magnet_magnetic,"['magnetization', 'tunneling', 'magnet', 'magnetic', 'relaxation', 'nanoparticle', 'molecule', 'anisotropy', 'reversal', 'spin']","['spin dynamic acetate thermally activate tunneling regime ac susceptibility magnetization relaxation work study spin dynamic acetate molecule regime thermally assist tunneling particular describe system presence strong transverse magnetic field similar recent experiment relaxation time rate find display series resonance lorentzian shape find stem tunneling dynamic susceptibility calculate start microscopic hamiltonian resonant structure manifest similar recent result report molecular magnet find oscillation relaxation rate function transverse magnetic field field direct hard axis molecule phenomenon attribute interference geometrical berry phase propose susceptibility experiment carry strong transverse magnetic field study oscillation well resolution sharp satellite peak relaxation rate', 'crossover thermally assist pure quantum tunneling molecular magnet acetate crossover thermally assist pure quantum tunneling study single crystal high spin uniaxial molecular magnet micro hall effect magnetometry magnetic hysteresis relaxation experiment investigate energy level determine magnetization reversal function magnetic field temperature experiment demonstrate crossover occur narrow k broad k temperature interval depend magnitude field transverse anisotropy axis', 'spin parity dependent tunneling magnetization single molecule magnet single molecule magnet facilitate study quantum tunneling magnetization mesoscopic level spin parity effect fundamental prediction clearly observe predict quantum tunneling suppress zero transverse field total spin magnetic system half integer kramer degeneracy allow integer spin system landau zener method measure tunnel splitting function transverse field spin parity dependent tunneling establish compare transverse field dependence tunnel splitting integer half integer spin system']"
111,352,111_curvature_manifold_ricci_riemannian,"['curvature', 'manifold', 'ricci', 'riemannian', 'metric', 'surface', 'positive', 'yamabe', 'flow', 'nonnegative']","['scalar curvature comparison scalar curvature riemannian metric standard metric obtain metric restrict conformal class certain curvature condition', 'curvature estimate positive mass theorem positive mass theorem imply smooth complete asymptotically flat manifold non negative scalar curvature zero total mass isometric paper quantify statement spinor prove complete asymptotically flat manifold non negative scalar curvature small mass bounded isoperimetric constant manifold close sense upper bound norm riemannian curvature tensor manifold set small measure curvature estimate allow extend case equality positive mass theorem include non smooth manifold generalized non negative scalar curvature define', 'metric positive ricci curvature bundle construct new example manifold positive ricci curvature topologically vector bundle compact manifold nonnegative ricci curvature particular prove e total space vector bundle compact manifold nonnegative ricci curvature product e admit complete metric positive ricci curvature large']"
112,349,112_entropy_thermodynamic_tsallis_nonextensive,"['entropy', 'thermodynamic', 'tsallis', 'nonextensive', 'equilibrium', 'boltzmann', 'nonequilibrium', 'statistical', 'thermostatistic', 'gibbs']","['nonextensive thermostatistic h theorem kinetic foundation tsallis nonextensive thermostatistic investigate boltzmann transport equation approach analysis follow nonextensive generalization molecular chaos hypothesis equation satisfy base tsallis entropy prove collisional equilibrium give tsallis velocity distribution', 'probabilistic property nonextensive thermodynamic base tsallis entropy nonextensive thermodynamic property study q deformation classical statistical result probabilistic method straightforward calculation show constant tsallis entropy depend deformation parameter redefine recover usual thermodynamic relation notion variance covariance generalise partial derivative formula entropy establish verify important relation nonextensive thermodynamic relation recover lead new proof highly nontrivial conclusion thermodynamic relation maxwell relation non extensive thermodynamic form ordinary nonextensive statistical mechanic theoretical result apply ideal gas case fermion boson system fractal distribution consider', 'tsallis thermodynamic nonextensive tsallis thermodynamic framework scale property entropy derive generalization gibbs duhem equation analysis suggest transformation variable allow standard thermodynamic recover generalize einstein formula probability fluctuation occur mean maximum statistical entropy method use propose transformation variable show fluctuation tsallis statistic map standard statistical mechanic']"
113,344,113_neutron_star_rotate_mode,"['neutron', 'star', 'rotate', 'mode', 'gravitational', 'newtonian', 'binary', 'relativistic', 'instability', 'polytropic']","['r mode instability rotate neutron star review summarize current understanding gravitational wave drive instability associate call r mode rotate neutron star discuss nature r mode detailed mechanic instability potential astrophysical significance particular discuss result spin evolution nascent neutron star detectability r mode gravitational wave mechanism limit spin rate accrete neutron star binary system', 'gravitational wave drive instability rotate relativistic star brief review stability rotate relativistic star follow detailed discussion recent work instability r mode mode rotate star axial parity slow rotation limit mode dominate spin neutron star rapidly rotate birth gravitational wave emit detectable', 'quasi normal mode rotate relativistic star neutral mode realistic equation state compute zero frequency neutral quasi normal f mode fully relativistic rapidly rotate neutron star realistic equation state eoss neutron star matter zero frequency mode signal onset gravitational radiation drive instability find l bar f mode unstable star gravitational mass low depend eos neutron star bar mode unstable maximum allow rotation rate wide range eoss bar mode unstable ratio rotational gravitational energy t w star t w maximum mass star contrast newtonian value t w construct follow empirical formula critical value t w bar mode t m insensitive eos formula yield estimate neutral mode sequence bar mode function star mass m give maximum allow mass nonrotate neutron star recent discovery fast millisecond pulsar supernova remnant support suggestion fraction proto neutron star bear supernova collapse large initial angular momentum fraction newly bear neutron star instability promising source continuous gravitational wave play major role rotational evolution emission angular momentum merge binary neutron star post merger angular momentum exceed maximum allow form kerr black hole']"
114,342,114_cmb_anisotropy_microwave_cosmic,"['cmb', 'anisotropy', 'microwave', 'cosmic', 'background', 'cosmological', 'power', 'spectrum', 'universe', 'parameter']","['forecast cosmic parameter error microwave background anisotropy experiment accurate measurement cosmic microwave background cmb anisotropy angular resolution arcminute determine fundamental cosmological parameter density baryon cold hot dark matter certain combination cosmological constant curvature universe percent level precision assume true theory variant inflationary cold dark matter cosmology calculate accuracy cosmological parameter determine generation cmb satellite map planck pay special attention accuracy computed derivative cmb power spectrum b number choice parameter c inclusion prior knowledge value parameter', 'gravitational wave contribution cmb anisotropy study possible contribution stochastic gravitational wave background anisotropy cosmic microwave background cmb cold mixed dark matter cdm mdm model test contribution recent detection cmb anisotropy large intermediate angular scale likelihood analysis indicate model blue power spectra n tensor scalar quadrupole ratio r consistent anisotropy datum consider find include possibility background cmb datum analysis drastically alter conclusion remain cosmological parameter', 'acoustic peak cosmic microwave background anisotropy brief review physics acoustic oscillation cosmic microwave background cmb anisotropy example impact detection cosmology present datum cmb angular power spectrum sub degree scale constrain dark energy cosmological model']"
115,338,115_peierl_spin_chain_gap,"['peierl', 'spin', 'chain', 'gap', 'magnetic', 'antiferromagnet', 'antiferromagnetic', 'haldane', 'compound', 'excitation']","['investigation spin peierl transition raman scattering raman experiment spin peierl compound substitute compound perform order investigate response specific magnetic excitation dimensional chain spin anisotropy substitution induce disorder pure addition normal phonon scattering affect spin peierl transition type magnetic scatter feature observe k singlet triplet excitation magnon scatter fold phonon mode identify assign temperature dependence lineshape temperature spin peierl transition approximately k broad intensity maximum center observe', 'schwinger boson mean field theory mixed spin antiferromagnet schwinger boson mean field theory study dimensional antiferromagnetic ordering excitation compound large family quasi dimensional mixed spin antiferromagnet investigate magnetic property compound introduce dimensional mixed spin antiferromagnetic heisenberg model base experimental result crystal structure model explain experimental discovery coexistence haldane gap antiferromagnetic long range order temperature property low lie excitation magnetization rare earth ion temperature different compound behavior haldane gap temperature investigate model result good agreement neutron scatter experiment', 'spin dynamic spin peierl compound magnetic field magnetic field drive transition spin peierl system associate closing spin gap investigate numerically field dependence spin dynamical structure factor see inelastic neutron scattering momentum dependent static susceptibility calculate dimerize phase h suggest strong field dependence transverse susceptibility experimentally see low temperature spin echo relaxation rate g second moment nmr spectrum low energy spin excitation appear incommensurate wave vector longitudinal susceptibility peak']"
116,336,116_ray_outburst_xte_rxte,"['ray', 'outburst', 'xte', 'rxte', 'hard', 'kev', 'soft', 'observation', 'transient', 'qpo']","['low hard state outburst xte present result analysis rxte pca observation january outburst black hole transient xte outburst short e folding time day pca band kev source see extreme low hard state energy spectra fit power law slightly steepen gamma time high energy cutoff decrease kev kev additional feature kev kev flux decrease factor power spectra fit broad lorentzian component characteristic frequency decrease source flux fractional rms contribution constant timing parameter derive identify observe system result previous luminous outburst complex behavior observe low luminosity xte behave way comparable black hole candidate', 'detection low hard state spectral time signature black hole x ray transient xte low x ray luminosity chandra x ray observatory rossi x ray timing explorer study black hole candidate bhc x ray transient xte near end outburst transition low hard state x ray luminosity l erg s kev assume source distance kpc result include characterization spectral time property low sample luminosity ks chandra observation measure power spectrum low frequency epoch obtain chandra rxte observation kev energy spectrum consistent spectral model consist power law interstellar absorption detect evolution power law photon index confidence error indicate source soften low luminosity power spectra characterize strong fractional rm band limit noise model zero center lorentzian include result rxte study xte near transition low hard state kalemci et al half width zero center lorentzian roughly band limit noise cut drop hz l erg s kev absorb hz l erg s hz low luminosity spectral time parameter evolve luminosity notable general shape energy power spectra remain indicate source stay low hard state imply x ray emit region system likely keep overall structure luminosity change factor discuss result constrain theoretical black hole accretion model', 'high energy observation state transition x ray nova black hole candidate xte report result extensive high energy observation x ray transient black hole candidate xte perform integral xmm newton rxte source undergo x ray outburst january observe february spectral state dominate soft component weak high energy tail xmm newton datum provide high column density nh suggest source lie galactic centre distance simultaneous rxte integral target opportunity observation allow measure weak steep tail typical black hole binary call high soft state follow evolution source outburst month integral galactic centre survey observation source active end march show clear transition hard state decay quiescent state april hard state source detect kev power law index peak luminosity erg kev band assumed distance kpc conclude xte new member black hole x ray novae class populate galactic bulge discuss property frame spectral model transient black hole binary']"
117,332,117_dwarf_brown_companion_binary,"['dwarf', 'brown', 'companion', 'binary', 'methane', 'star', 'object', 'spectral', 'infrared', 'proper']","['binary ultra cool dwarf brown dwarf observation brown dwarf provide important feedback theory atmosphere inner structure substellar object brown dwarf binary system furthermore offer unique opportunity determine mass individual brown dwarf fundamental astrophysical quantity', 'spectroscopy brown dwarf candidate rho ophiuchi molecular core present analysis low resolution infrare spectra brown dwarf candidate core ophiuchi molecular cloud source display absorption line spectra characteristic late type star compare depth water vapor absorption band candidate object grid m dwarf standard derive spectral type independent redden optical spectroscopy brown dwarf candidate confirm spectral type derive water band combine spectral type publish near infrared photometry effective temperature bolometric stellar luminosity derive enable place sample hertzsprung russell diagram compare position brown dwarf candidate diagram set theoretical model order estimate mass age consider uncertainty place candidate h r diagram object consistently lie brown dwarf regime object lie transition region stellar substellar object age infer sample consistent derive high mass association member newly identify brown dwarf display infrared excess suggest young brown dwarf active accretion disk compare mass estimate brown dwarf candidate derive photometric datum suggest spectroscopy essential component investigation mass function young cluster', 'prospect find brown dwarf eclipse binary system measure brown dwarf property present result simulation investigate prospect measure mass age radius metallicity luminosity datum brown dwarf fully eclipse binary system late k early m dwarf identify ultra wide field transit survey survey monitor approximately million k m dwarf level sufficient detect transit low luminosity companion look current observational evidence system suggest late k early mid m dwarf close bd companion assumption superwasp transit survey example simulation predict brown dwarf fully eclipse binary system discover eclipse binary yield accurate brown dwarf mass radius measurement infer brown dwarf effective temperature distribution assume uniform age spread companion brown dwarf mass function simulation estimate brown dwarf brightness measurable level binary system secondary eclipse irradiation brown dwarf level system mean measured brown dwarf brightness generally free float counterpart predict age distribution primary dominate young system binary young suggest young binary system member kinematic move group allow age accurately constrain']"
118,325,118_ferroelectric_relaxor_dielectric_film,"['ferroelectric', 'relaxor', 'dielectric', 'film', 'rhombohedral', 'pzt', 'monoclinic', 'perovskite', 'crystal', 'phase']","['effect non ferroelectric slab polarization susceptibility ferroelectric multilayer polarization susceptibility ferroelectric multilayer non ferroelectric slab investigate framework transverse ise model spin interaction term effect thickness position non ferroelectric slab investigate paper find increase thickness non ferroelectric decrease polarization susceptibility film position non ferroelcetric slab shift center film surface number peak susceptibility change step like polarization curve find', 'size effect pyroelectric coefficient dielectric susceptibility ferroelectric thin film calculate pyrocoefficient static dielectric susceptibility profile thickness dependence ferroelectric thin film temperature dependence quantity calculate calculation use landau phenomenological theory lead lame equation equation subject boundary condition different extrapolation length surface solve numerically divergency pyroelectric coefficient static dielectric susceptibility vicinity thickness induce ferroelectric phase transition show prominent size effect ferroelectric thin film', 'anomalous phase relaxor ferroelectric x ray diffraction study pzn single crystal sample presence different structure outer layer exist outer crystal undergo structural phase transition curie temperature inside phase different lattice inside crystal maintain cubic unit cell ferroelectric polarization develop lattice parameter cubic unit cell remain virtually constant variation compare typical relaxor ferroelectric wide temperature range k hand broaden bragg peak change bragg profile line shape longitudinal transverse direction clearly indicate structural phase transition occur']"
119,319,119_soliton_nonlinear_pulse_medium,"['soliton', 'nonlinear', 'pulse', 'medium', 'optical', 'waveguide', 'nonlinearity', 'propagation', 'kerr', 'fiber']","['stability collision move semi gap soliton bragg cross grating report result systematic study dimensional wave move soliton recently propose model bragg cross grating planar optical waveguide kerr nonlinearity model apply fiber bragg grating bg carry polarization light concentrate case system spectrum contain true bandgap semi gap gap respect branch dispersion relation support soliton family solely zero velocity soliton previously study system current experiment generate soliton velocity small half maximum group velocity find semi gap move soliton analytical form demonstrate completely fill numerically find soliton stability move soliton identify direct simulation stability region strongly depend frustration parameter control difference present system usual model single bg completely new situation possible velocity interval stable soliton limit collision stable soliton elastic strongly inelastic close instability border soliton collide elastically velocity small collision robust soliton elastic strip', 'dipole mode vector soliton find new type optical vector soliton originate trap dipole mode soliton induce waveguide soliton appear consequence vector nature component system stable previously find optical vortex mode soliton represent new type extremely robust nonlinear vector structure', 'interaction vector soliton nonlinear interface develop analytical method field momenta analyze dynamic optical vector soliton photorefractive nonlinear medium derive effective evolution equation parameter multi component soliton compose incoherently couple beam investigate soliton internal oscillation associate relative motion soliton component apply method analyze vector soliton scatter nonlinear interface particular vector soliton reflect transmit capture split separate component depend initial energy internal degree freedom result verify direct numerical simulation spatial optical soliton photorefractive nonlinear medium']"
120,315,120_integral_feynman_loop_diagram,"['integral', 'feynman', 'loop', 'diagram', 'master', 'evaluation', 'propagator', 'expansion', 'box', 'leg']","['solve recurrence relation multi loop feynman integral study problem solve integration part recurrence relation give class feynman integral characterize arbitrary polynomial numerator arbitrary integer power propagator problem express feynman integral class linear combination master integral parametric representation invent baikov characterize master integral construct algorithm evaluate correspond coefficient function illustrate procedure use simple loop example class diagram appear calculation loop heavy quark potential', 'calculation master integral difference equation paper describe new method calculation master integral base solution system difference equation variable explicit example give generalization arbitrary diagram describe example application method calculate value master integral single scale massive loop vacuum diagram loop self energy diagram loop vertex diagram loop box diagram', 'multi loop feynman integral conformal quantum mechanic new algebraic approach analytical calculation d dimensional integral multi loop feynman diagram propose know analytical method evaluation multi loop feynman integral integration part star triangle relation method drastically simplify algebraic approach demonstrate advantage algebraic method analytical evaluation multi loop feynman diagram calculate ladder diagram massless theory algebraic approach problem evaluation special class feynman diagram reduce calculation green function specific quantum mechanical problem particular integral ladder massless diagram scalar field theory give green function conformal quantum mechanic']"
121,314,121_billiard_chaotic_orbit_stadium,"['billiard', 'chaotic', 'orbit', 'stadium', 'semiclassical', 'periodic', 'eigenstate', 'sinai', 'classical', 'eigenfunction']","['chaos andreev billiard new type classical billiard andreev billiard investigate tangent map technique andreev billiard consist normal region surround superconducte region contrast previously study billiard andreev billiard integrable zero magnetic field regardless shape magnetic field render chaotic motion generically shape billiard demonstrate bunimovich stadium examination section lyapunov exponent issue feasibility certain experimental realization address', 'density state energy gap andreev billiard present numerical result local density state semiclassical andreev billiard energy gap near fermi energy develop chaotic billiard method gap find similar square circular billiard', 'chaotic time dependent billiard billiard form stadium periodically perturb boundary consider type billiard study stadium strong chaotic property near rectangle billiard phase portrait billiard investigate phase plane area correspond decrease increase velocity billiard particle find average velocity particle ensemble function number collision obtain']"
122,310,122_positronium_hyperfine_correction_lamb,"['positronium', 'hyperfine', 'correction', 'lamb', 'hydrogen', 'shift', 'orthopositronium', 'atom', 'ps', 'splitting']","['new polarization operator contribution lamb shift hyperfine splitting calculate radiative correction lamb shift order radiative correction hyperfine splitting order generate diagram insertion radiative photon electron polarization loop graph external photon obtain radiative recoil correction hyperfine splitting muonium generate diagram polarization loop', 'logarithms alpha qed bind state renormalization group velocity renormalization group determine contribution qed bind state energy lead order anomalous dimension potential give bethe logarithm lamb shift lead order anomalous dimension determine alpha correction energy obtain lamb shift hyperfine splitting hydrogen muonium positronium correction para positronium lifetime', 'expansion bind state energy power m describe new approach compute energy level non relativistic bind state constituent mass m m systematic expansion power m discuss method demonstrate potential example radiative recoil correction lamb shift hyperfine splitting relevant hydrogen muonic hydrogen muonium discrepancy previous calculation m radiative recoil correction lamb shift resolve new term high obtain']"
123,310,123_diffractive_pomeron_diffraction_hera,"['diffractive', 'pomeron', 'diffraction', 'hera', 'dis', 'inelastic', 'hard', 'factorization', 'dissociation', 'rapidity']","['qcd analysis diffractive dis hera qcd analysis deep inelastic diffractive scattering hera perform assume dominance soft pomeron exchange simple physically motivated parametrization parton distribution pomeron lo nlo approximation consider theoretical prediction concern quantity r diffractive structure function present', 'diffractive structure function hera recent result diffraction hera present focus measurement inclusive diffractive cross section study jet diffractive ep scattering', 'result diffraction hera tevatron recent result diffraction hera zeus collaboration tevatron cdf collaboration review measurement diffractive structure function hera present pomeron structure function extract qcd fit diffractive dijet production give example analysis diffractive final state analysis consistent lead gluon partonic structure pomeron hard single diffraction double diffraction double pomeron exchange process study tevatron complement study perform hera finally hera result diffractive exclusive production vector particle vector meson photon present compare model base perturbative qcd']"
124,310,124_planet_migration_eccentricity_orbit,"['planet', 'migration', 'eccentricity', 'orbit', 'planetesimal', 'planetary', 'belt', 'disk', 'jupiter', 'kuiper']","['migration system protoplanet evolution system consist protoplanetary disc embed jupiter sized planet study numerically disc assume flat non self gravitating model planar dimensional navi stoke equation mutual gravitational interaction planet star gravitational torque disc act planet central star include planet initial mass jupiter mass radial distance star semi major axis jupiter respectively evolution planet increase mass accretion gas disc orbital period inner planet reach mass outer planet net gravitational torque exert disc planet result inward migration outer planet time scale comparable viscous evolution time disc semi major axis inner planet remain constant distance close approach eventually small mutual hill radius eccentricity increase strongly system turn unstable implication origin solar system extrasolar planet discuss', 'tidal interaction planet protoplanetary disk discovery extrasolar planet orbit solar type star property different solar system raise question formation evolution planet tidal interaction planet surround disk determine orbital property mass planet perform numerical computation planet embed protoplanetary disk find typical value viscosity planet easily grow upto jupiter mass new result mass evolution migration planet present', 'orbital evolution planet disk orbital parameter observed extrasolar planet differ strongly solar system difference include planet high mass small semi major axis large eccentricity perform numerical computation embed planet disk follow mass growth orbital evolution thousand period find planet migrate inward timescale year nearly circular orbit grow jupiter mass interaction disk planet halt migration process lead system similar solar planetary system']"
125,308,125_chiral_lattice_fermion_ginsparg,"['chiral', 'lattice', 'fermion', 'ginsparg', 'gauge', 'wilson', 'dirac', 'anomaly', 'overlap', 'operator']","['domain wall fermion chiral gauge theory lattice exact gauge invariance discuss construct anomaly free chiral gauge theory lattice exact gauge invariance framework domain wall fermion chiral gauge coupling realize introduce dimensional gauge field interpolate different dimensional gauge field boundary dimensional dependence compensate local gauge invariant counter term cohomology problem obtain counter term formulate dimensional space chern simon current induce dimensional wilson fermion clarify connection invariant construction base ginsparg wilson relation overlap dirac operator formula measure effective action weyl fermion obtain term dimensional lattice quantity', 'chiral lattice fermion instead ginsparg wilson relation generalize chiral symmetry require result large class dirac operator massless fermion investigate general construction give show new class lead properly weyl fermion chiral gauge theory', 'introduction chiral symmetry lattice chiral symmetry qcd central importance nonperturbative low energy dynamic light quark gluon lattice field theory provide theoretical framework dynamic study principle implementation chiral symmetry lattice nontrivial issue particular local lattice fermion action chiral symmetry continuum theory suffer fermion double problem ginsparg wilson relation imply lattice variant chiral symmetry agree usual continuum limit local lattice fermion action obey ginsparg wilson relation exact chiral symmetry correct axial anomaly obey lattice version atiyah singer index theorem suffer notorious doubling problem ginsparg wilson relation satisfied exactly neuberger overlap fermion limit kaplan domain wall fermion hasenfratz niedermayer classically perfect lattice fermion action chiral symmetry nonlinearly realize effective field theory lattice double problem arise review provide introduction chiral symmetry lattice emphasis basic theoretical framework']"
126,303,126_dna_strand_molecule_force,"['dna', 'strand', 'molecule', 'force', 'denaturation', 'chain', 'helix', 'chromatin', 'nucleosome', 'unzipping']","['couple dynamic dna breathing single strand dna bind protein study size fluctuation local denaturation zone dna molecule presence protein selectively bind single strand dna base master equation tune physical parameter drive system undisturbed bubble fluctuation bind protein induce denaturation determine effective free energy landscape dna bubble explore relaxation mode', 'conductivity dna probe conduct atomic force microscopy effect contact electrode dna structure surface interaction study electrical conductivity dna molecule conduct atomic force microscopy function chemical nature substrate surface nature electrical contact number dna molecule molecule rope large fiber contain molecule independent chemical nature surface hydrophobic hydrophilic electrically neutral charge find dna highly resistive large number current voltage curve measure distance dna estimate conductivity dna molecule single dna molecule highly resistive behavior correlate flatten conformation surface reduce thickness nm compare nominal value nm find intercalate organic semiconductor buffer film dna metal electrode improve reliability contact direct metal evaporation usually destroy dna prevent current measurement long exposure vacuum dry nitrogen conductivity strongly decrease lead conclusion water molecule ion hydration shell dna play major role', 'stretch relaxation dynamic double strand dna study numerically mechanical stability elasticity property duplex dna molecule frame network model incorporate microscopic degree freedom relate arrangement base pair pay special attention opening close dynamic double strand dna molecule force non equilibrium conformation mechanical stress impose terminal end dna molecule bring partially open configuration examine subsequent relaxation dynamic connect energy exchange process degree freedom structural rearrangement lead complete recombination double strand conformation similarity difference relaxation dynamic planar ladder like dna molecule twisted discuss detail way attainment quasi equilibrium regime proceed fast case twisted dna form flexible ladder counterpart furthermore find velocity complete recombination dna molecule low velocity impose force unit compliance experimental observation opening closing cycle dna molecule']"
127,302,127_functional_kohn_sham_density,"['functional', 'kohn', 'sham', 'density', 'exchange', 'calculation', 'orbital', 'method', 'electron', 'pseudopotential']","['calculation single particle spectra density functional theory context density functional theory consider single particle excitation spectra electron system result relate single particle excitation eigenvalue correspond kohn sham equation case exchange correlation functional approximate exchange functional coupling equation simple single particle spectra coincide eigenvalue kohn sham equation one hartree fock equation', 'new approach density functional theory description spectra finite electron system self consistent version density functional theory present allow calculate ground state dynamic property finite multi electron system exact functional equation effective interaction construct action functional density functional response function excitation spectra consider system outline context density functional theory consider single particle excitation spectra electron system relate single particle spectrum eigenvalue correspond kohn sham equation find single particle spectrum coincide eigenvalue kohn sham equation hartree fock equation', 'natural orbital functional electron problem exchange correlation energy kohn sham density functional theory express functional electronic density kohn sham orbital alternative kohn sham theory express energy functional reduce order density matrix equivalently natural orbital approach unknown functional contain kinetic potential contribution approach contain potential energy consequently simple scaling property present approximate simple parameter free functional natural orbital base solely scale argument near satisfaction sum rule test atom yield average accurate energy charge density hartree fock method local density approximation generalized gradient approximation']"
128,299,128_conformal_algebra_modular_fusion,"['conformal', 'algebra', 'modular', 'fusion', 'representation', 'logarithmic', 'subfactor', 'superconformal', 'theory', 'singular']","['structure constant current algebra study free field realization dimensional current algebra consider case level affine symmetry positive integer coulomb gas technique obtain integral representation conformal block model particular behaviour point function extract structure constant product arbitrary primary operator theory result derive fusion rule conformal field theory explore connection affine symmetry superconformal field theory', 'free conformal vertex algebra variety classical algebra call conformal counterpart example consider lie conformal associative conformal algebra lie conformal algebra closely relate vertex algebra define free object category conformal vertex algebra case explicitly build groebner basis', 'fusion algebra character rational conformal field theory introduce notion nondegenerate strongly modular fusion algebra strongly modular mean fusion algebra induce verlinde formula representation modular group kernel contain congruence subgroup furthermore nondegenerate mean conformal dimension possibly underlie rational conformal field theory differ integer main result classification strongly modular fusion algebra dimension classification nondegenerate strongly modular fusion algebra dimension secondly conformal character rational model w algebra determine mere knowledge central charge set conformal dimension describe actually construct conformal character theta series associate certain lattice way develop tool study representation modular group space modular function method apply certain rational conformal field theory general useful analysis rational model']"
129,296,129_luttinger_liquid_fermi_lutting,"['luttinger', 'liquid', 'fermi', 'lutting', 'tomonaga', 'wire', 'conductance', 'bosonization', 'impurity', 'interaction']","['scatter amplitude non fermi liquid system mix form factor analyticity technique determine fundamental scattering amplitude non fermi liquid system include reflection transmission amplitude laughlin quasiparticle point contact luttinger liquid point contact fermi liquid luttinger liquid liquid chiral result obtain closed form rise simple expression probability basic process non fermi liquid physics special value coupling', 'luttinger liquid dimensional semiconductor quantum wire structure present theoretical basis analyze resonant raman scatter experiment dimensional system describe luttinger liquid fix point experimentally testable prediction distinguish lutting liquid fermi liquid argue presently available quantum wire system regime luttinger liquid effect important', 'fermi liquid feature dimensional luttinger liquid dimensional electron system describe landau phenomenological fermi liquid theory know result derive luttinger liquid theory retrieve fermi liquid theory exact correspondence landau parameter haldane parameter establish exponent dynamical correlation function impurity problem discuss base finite size correction elementary excitation prediction conformal field theory provide bridge fermi liquid luttinger liquid']"
130,290,130_graph_vertex_edge_number,"['graph', 'vertex', 'edge', 'number', 'pebble', 'chromatic', 'maximum', 'set', 'tree', 'subgraph']","['type problem concern power degree graph revise graph degree sequence positive integer let fix graph let denote maximum value take graph vertex contain subgraph clearly twice number paper consider case graph obtain exact result obtain asymptotically tight upper low bound interesting case remain open', 'maximal independent set graph r cycle find maximum number maximal independent set family graph graph vertex cycle graph connect addition characterize extremal graph', 'graph stability number graph g denote cardinality stable set maximum size graph covered maximal stable set size g koenig egervary graph order equal cardinality maximum matching paper characterize graph graph stability number invariant add edge complement graph perfect matching consist pendant edge vertex graph span cycle corollary give necessary sufficient condition bipartite graph tree instance prove bipartite graph cover free']"
131,289,131_game_agent_minority_opinion,"['game', 'agent', 'minority', 'opinion', 'strategy', 'player', 'social', 'cooperation', 'payoff', 'consensus']","['influence external information minority game influence fix number agent fix behavior dynamic minority game study alternatively system study consider minority game change comfort threshold away half fill agent frustrated non ergodic phase tend overreact information provide fix agent lead large fluctuation deviation average occupancy optimal value agent discount impact market use individual strategy reach equilibrium state unlike absence external information provide fix agent high payoff collective', 'attain maximum profit minority game physical origin player cooperation minority game obtain maximum global wealth minority game answer question study variant minority game player choose alternative accord strategy pick restricted set strategy space numerical experiment conclude player cooperation result suitable size sample available strategy space overall performance game improve suitably adjust strategy space size', 'intelligent minority game genetic crossover strategy develop game theoretical model heterogeneous interact agent call intelligent minority game intelligent agent play basic minority game depend performance generate new strategy point genetic crossover mechanism performance change dramatically game move rapidly efficient state fluctuation number agent perform particular action characterize reach low value phase transition vary agent']"
